Hoja1: Table 1,,,,,
ITEM1_DESC,SIZE_DESC,Departamento,Precio Estimado,,
Agua Siembra con gas 477ml,N/A,N/A,"4,500",,
Agua Manantial 300ml,N/A,N/A,"3,900",,
Agua Manantial con gas 300ml,N/A,N/A,"3,900",,
Coca Cola no retornable,N/A,N/A,"3,900",,
Coca Cola Light no retornable,N/A,N/A,"3,900",,
Schweppes Ginger,N/A,N/A,"3,900",,
Vino Tinto Botella - AMORETINTO,N/A,N/A,"65,800",,
Vino Blanco Botella- AMORETINTO,N/A,N/A,"65,800",,
Vino Prosecco Botella,N/A,N/A,"78,900",,
Vino Tinto 1/2 botella - AMORETINTO,N/A,N/A,"39,500",,
Vino Blanco 1/2 Botella - AMORETINTO,N/A,N/A,"39,500",,
Vino Prosecco 1/2 Botella,N/A,N/A,"58,900",,
Cerveza Club Colombia 330ml,N/A,N/A,"6,900",,
Cerveza Stella Artois 330ml,N/A,N/A,"8,900",,
Cerveza Aguila Light 330ml,N/A,N/A,"5,600",,
Cerveza Heineken 330ml,N/A,N/A,"8,600",,
Crepe MontBlanc,N/A,N/A,"9,800",,
Filosofía Acaramelada,N/A,N/A,"7,400",,
Tiramisú,N/A,N/A,"9,900",,
Tarta de chocolate y fudge,N/A,N/A,"8,900",,
Copa Banana Royal,N/A,N/A,"9,800",,
Copa Capri,N/A,N/A,"7,500",,
Copa Festival,N/A,N/A,"14,400",,
Copa Melocotón,N/A,N/A,"9,600",,
Copa Vesubio,N/A,N/A,"6,900",,
Crepe de Camarones al Ajillo,N/A,N/A,"28,200",,
Crepe de Champiñones al Ajillo,N/A,N/A,"13,500",,
Crepe Romana,N/A,N/A,"12,500",,
Crepe Sensación,N/A,N/A,"13,900",,
Tuna Salad,N/A,N/A,"28,600",,
Panne Cook de Camarones al Ajillo,N/A,N/A,"30,900",,
Pita Capresa,N/A,N/A,"15,600",,
Pita Doble Pocket,N/A,N/A,"13,500",,
Pita Tuna Pocket,N/A,N/A,"18,600",,
Waffle sencillo con Crema Chantilly,N/A,N/A,"7,600",,
Coulis Maracuya 9oz,N/A,N/A,"7,500",,
Masa de Yuca 250gr,N/A,N/A,"8,500",,
Pan de Centeno,N/A,N/A,"15,800",,
Chocolatada,N/A,N/A,"5,900",,
Chocolatada,N/A,N/A,5900,,
Queso Momposino,N/A,N/A,"11,900",,
Bowl de Açaí,N/A,N/A,"13,900",,
Copa Yogurt Natural,N/A,N/A,"13,600",,
Huevos Crepes & Waffles,N/A,N/A,"10,900",,
Huevos Rosarito,N/A,N/A,"15,900",,
Huevos Rancheros,N/A,N/A,"10,500",,
Huevos Harissa,N/A,N/A,"11,900",,
Huevos Australianos,N/A,N/A,"16,900",,
Huevos Benedictine,N/A,N/A,"13,500",,
Huevos Benedictine con Espinaca,N/A,N/A,"14,500",,
