Hoja1: Table 1,,,,,
ITEM1_DESC,SIZE_DESC,Departamento,Precio Estimado,,
Alimento para niños Nido Kinder mis primeros pasos 1-3 años 1.5 kg,1.5KG,Abarrotes,235,,
Leche entera Nido Forti Crece 1.92 kg,1.92KG,Abarrotes,247,,
AU ACEITE VEGETAL 3.5 LT,3.5 L,Abarrotes,92.5,,
Frijol pinto Aurrera 900 g,900,Abarrotes,24.5,,
Agua purificada Great Value  24 botellas de 500 ml c/u,12LT,Abarrotes,49.9,,
Bebida Boing  jugo de manzana 250 ml,250ML,Abarrotes,4.2,,
Bebida Boing  jugo de uva 250 ml,250ML,Abarrotes,4.2,,
TRES ESTRELLAS GALLETA SANDWICH CHOCOLAT,80GR,Abarrotes,5,,
Polvo para gelatina de agua D'Gari  sabor fresa 120 g,120GR,Abarrotes,10.2,,
Paleta payaso Ricolino  45 g,45GR,Abarrotes,12.5,,
Granos de elote Herdez  400 g,400GR,Abarrotes,14.9,,
Ensalada de legumbres Herdez  en lata 400 g,400GR,Abarrotes,14.5,,
Granos de elote Del Monte  dorados en lata 400 g,400GR,Abarrotes,12.5,,
Elote dorado La Costeña  220 g,220GR,Abarrotes,6,,
Galletas Gansito Marinela 10 pzas,215GR,Abarrotes,19,,
Refresco Pepsi  600 ml,600ML,Abarrotes,10,,
Puré de tomate Del fuerte  condimentado 1 kg,1KG,Abarrotes,23.9,,
Harina de trigo Selecta  1 kg,1KG,Abarrotes,13.9,,
Bolsa Aurrera  roja 1 pza,PZA,Abarrotes,10,,
Spaghetti Aurrera  200 g,200GR,Abarrotes,3.5,,
Bolsa verde Great Value  1 pza,1 PZA,Abarrotes,17.9,,
Pastelito Kinder Délice cacao 39 g,39GR,Abarrotes,11.01,,
Bebida Gatorade  sabor lima limón 1 l,1000ML,Abarrotes,23,,
Agua Bonafont  20 l únicamente líquido,20LT,Abarrotes,38,,
Agua Bonafont  botella de 2 l,2L,Abarrotes,12.9,,
Galletas Arcoiris  practipak 185 g,185GR,Abarrotes,20,,
Jugo sazonador Maggi  100 ml,100ML,Abarrotes,29.9,,
Papas Sabritas  adobadas 170 g,170GR,Abarrotes,33.9,,
Néctar Jumex  varios sabores 3 pack de 1 l c/u,1000ML,Abarrotes,41,,
Bebida Boing  con pulpa de fresa fortificada 1 l,1000ML,Abarrotes,14.5,,
Bebida Boing  con pulpa de guayaba fortificada 1 l,1000ML,Abarrotes,14.5,,
Bebida Boing  con jugo de manzana fortificada 1 l,1000ML,Abarrotes,14.5,,
